quality,carbon,energy
94.9021450000001,10.590922212848286,22.296678342838497
94.9021450000001,10.590922212848286,22.296678342838497
94.9021450000001,10.590922212848286,22.296678342838497
94.9021450000001,10.590922212848286,22.296678342838497
94.9021450000001,10.590922212848286,22.296678342838497
94.79548500000011,9.311452536861292,19.603057972339563
94.79548500000011,9.311452536861292,19.603057972339563
94.93935500000016,10.643048872119664,22.40641867814666
94.93935500000016,10.643048872119664,22.40641867814666
94.81736500000014,9.329398908533934,19.64083980743986
94.98965000000015,10.77564337597503,22.685565002052694
94.66344000000008,2.755132611509346,5.800279182124939
94.54764000000009,1.2161205405686515,2.560253769618214
94.97865500000016,10.71119585059832,22.549886001259623
94.76481500000008,3.1474470354290873,6.626204285113868
94.96427500000016,15.274016345495927,32.155823885254584
94.76481500000008,3.409173168996488,7.177206671571554
94.96177500000016,11.16046327476844,23.49571215740724
94.9021450000001,10.592376222553339,22.29973941590177
94.79548500000011,10.136079990257164,21.33911576896245
